nombre;direccion;municipio;codigo postal;comarca;lat;lon;categorias
Institut Cap Norfeu;c.  Ponent;Roses;17480;Alt Empordà;42.2678858568;3.1772898955;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,8. Cicles formatius d'FP de grau mitjà (CFPM),Educació. Formació,Ensenyaments de règim general,9. Cicles formatius d'FP de grau superior (CFPS),Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Institut de Santa Coloma de Farners;c.  Sant Sebastià;Santa Coloma de Farners;17430;Selva;41.8576146494;2.6650939595;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,8. Cicles formatius d'FP de grau mitjà (CFPM),Educació. Formació,Ensenyaments de règim general,9. Cicles formatius d'FP de grau superior (CFPS),Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria,Educació. Formació,Ensenyaments de règim general,5. Programes de formació i inserció (PFI)
Institut Vallvera;ptge. de les Fàbrica Tèxtil Coma Cros;Salt;17190;Gironès;41.9782602228;2.7963830958;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,8. Cicles formatius d'FP de grau mitjà (CFPM),Educació. Formació,Ensenyaments de règim general,9. Cicles formatius d'FP de grau superior (CFPS),Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Llar d'infants Ginjoler;c.  Gavina;Calonge;17251;Baix Empordà;41.8499897;3.1066812115;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Llar d'infants Baldufes;c.  Cruanyes;Camós;17834;Pla de l'Estany;42.0941171479;2.7682091749;Educació. Formació,Ensenyaments de règim general,1. Llar d'infants
Institut Canigó;c.  Canigó;Almacelles;25100;Segrià;41.7303806253;0.4345776898;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Institut Josep Lladonosa;c.  Jeroni Pujades;Lleida;25005;Segrià;41.6228961915;0.6366540545;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria,Educació. Formació,Ensenyaments de règim general,5. Programes de formació i inserció (PFI)
Escola Alba;ctra. de Corbins;Corbins;25137;Segrià;41.690210158;0.696090015;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
Institut Manuel de Montsuar;par. de Montcada;Lleida;25196;Segrià;41.6259630658;0.6173698187;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Institut Josep Vallverdú;c.  Dr. Josep Trueta;Borges Blanques, les;25400;Garrigues;41.5172492859;0.8671135503;Educació. Formació,Ensenyaments de règim general,7. Batxillerat,Educació. Formació,Ensenyaments de règim general,8. Cicles formatius d'FP de grau mitjà (CFPM),Educació. Formació,Ensenyaments de règim general,9. Cicles formatius d'FP de grau superior (CFPS),Educació. Formació,Ensenyaments de règim general,4. Educació secundària obligatòria
Esc. de Música Municipal de Mollerussa;pl.  Pla d'Urgell;Mollerussa;25230;Pla d'Urgell;41.629627242;0.894754381;Educació. Formació,Ensenyaments de règim especial,Música
Escola d'Espluga de Serra - ZER Alta Ribagorça;c. de les Escoles;Tremp;25583;Pallars Jussà;42.166923452;0.895867625;Educació. Formació,Ensenyaments de règim general,3. Educació primària,Educació. Formació,Ensenyaments de règim general,2. Parvulari
